date_utc,block_time_utc,height_guess,used_height,pool_len,uluna,uusd,lunc,ustc,lcd_used,error
2023-02-12T00:00:00Z,,11496371,11496371,32,1234380246334685.097833429414914426,1638838603324.287678869146317456,1234380246.334685,1638838.6033242876,https://terra-classic-lcd.publicnode.com,
2023-02-19T00:00:00Z,,11597171,11597171,32,1255752273246458.587642986045392616,1749084784226.696624364256385828,1255752273.2464585,1749084.7842266965,https://terra-classic-lcd.publicnode.com,
2023-02-26T00:00:00Z,,11697971,11697971,32,1290720053799022.463653567549823842,1852455955499.755651009145314388,1290720053.7990224,1852455.9554997557,https://terra-classic-lcd.publicnode.com,
2023-03-05T00:00:00Z,,11798771,11798771,32,1323075167341955.075237659595271084,1938851764114.110822538280906806,1323075167.341955,1938851.7641141107,https://terra-classic-lcd.publicnode.com,
2023-03-12T00:00:00Z,,11899571,11899571,32,1419115127902929.004573188116985387,2081910965061.905687831188820360,1419115127.902929,2081910.9650619058,https://terra-classic-lcd.publicnode.com,
2023-03-19T00:00:00Z,,12000371,12000371,32,1485173461080829.985319066533012622,2188836790170.725003334894610303,1485173461.08083,2188836.790170725,https://terra-classic-lcd.publicnode.com,
2023-03-26T00:00:00Z,,12101171,12101171,32,1617911645125149.710955143678263210,2306176201297.720294662814753279,1617911645.1251497,2306176.2012977204,https://terra-classic-lcd.publicnode.com,
2023-04-02T00:00:00Z,,12201971,12201971,32,1667045202673620.297787208825071009,2392051353866.196061560988174890,1667045202.6736202,2392051.3538661962,https://terra-classic-lcd.publicnode.com,
2023-04-09T00:00:00Z,,12302771,12302771,32,1806184698988086.297465060106422548,2597212376313.129877893671875468,1806184698.9880862,2597212.37631313,https://terra-classic-lcd.publicnode.com,
2023-04-16T00:00:00Z,,12403571,12403571,32,1110528507575374.165376561870069280,3145084352196.886769271030806189,1110528507.5753741,3145084.3521968867,https://terra-classic-lcd.publicnode.com,
2023-04-23T00:00:00Z,,12504371,12504371,32,1154199707127193.285827668297521629,3221907325101.809473782146755897,1154199707.1271932,3221907.3251018096,https://terra-classic-lcd.publicnode.com,
